sq1,sq2,sq3,sq4,sq5,sq6,sq7,sq8,sq9,sq10,sq11,sq12,sq13,sq14,sq15,sq16,kq1_1,kq1_2,kq2_1,kq2_2,kq3_1,kq3_2,kq4_1,kq4_2,kq5_1,kq5_2,kq6_1,kq6_2,kq7_1,kq7_2,kq8_1,kq8_2,kq9_1,kq9_2,kq10_1,kq10_2,kq11_1,kq11_2,kq12_1,kq12_2,kq13_1,kq13_2,kq14_1,kq14_2,kq15_1,kq15_2,kq16_1,kq16_2,kq17_1,kq17_2,kq18_1,kq18_2,kq19_1,kq19_2,kq20_1,kq20_2,kq21_1,kq21_2,kq22_1,kq22_2,kq23_1,kq23_2,kq24_1,kq24_2,kq25_1,kq25_2,kq26_1,kq26_2,kq27_1,kq27_2,kq28_1,kq28_2,kq29_1,kq29_2,kq30_1,kq30_2,kq31_1,kq31_2,kq32_1,kq32_2,kq33_1,kq33_2,bq8_1,bq8_2,bq8_3,bq9,bq10,bq11,bq12_1,bq12_2,bq12_3,bq12_4,bq12_5,bq13_1,bq13_2,bq13_3,bq14_1,bq14_2,bq14_3,bq14_4,bq14_5,bq15,bq16_1,bq16_2,bq16_3,bq16_4,bq16_5,bq17,bq19,bq20,bq21_1,bq21_2,bq21_3,bq26,bq30,bq31_1,bq31_2,bq31_3,knowcode,bq1__1,bq1__2,bq1__3,bq1__4,bq1__5,bq1__6,bq1__7,bq1__8,bq1__9,bq1__10,bq1__11,bq1__12,bq1__13,bq1__14,bq1__15,bq1__16,bq1__17,bq1__18,bq1__19,bq1__20,bq2__1,bq2__2,bq2__3,bq2__4,bq2__5,bq2__6,bq3__1,bq3__2,bq3__3,bq3__4,bq3__5,bq3__6,bq4___1,bq5___1,bq5_1__1,bq5_1__2,bq5_1__3,bq5_1__4,bq5_1__5,bq5_1__6,bq6__1,bq6__2,bq6__3,bq6__4,bq6__5,bq6__6,bq6__7,bq7__1,bq7__2,bq7__3,bq7__4,bq7__5,bq7__6,bq7__7,bq18_1___1,bq18_2___1,bq18_3___1,bq18_4___1,bq18_5___1,bq18_6___1,bq18_7___1,bq18_8___1,bq18_9___1,bq25___1,bq27__1,bq27__2,bq27__3,bq27__4,bq27__5,bq27__6,bq28___1,bq29___1,bq28_cat
4,4,5,3,2,2,4,5,4,4,5,5,5,4,3,3,1,0,1,0,1,0,1,0,3,3,1,0,1,0,1,0,1,0,1,0,2,2,1,0,3,3,1,0,2,2,2,2,1,0,2,3,1,0,1,0,1,0,2,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,1,1,3,2,2,3,9,9,9,3,4,3,3,2,2,2,2,2,3,2,2,2,2,2,4,1,1,2,2,2,58,60,0,0,2400,561401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6
3,3,4,2,3,3,3,3,2,2,3,4,4,3,2,2,2,2,1,0,1,0,2,2,3,3,1,0,1,0,3,3,1,0,1,0,1,0,1,0,2,2,1,0,3,3,1,0,2,2,2,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,2,1,0,1,0,2,1,1,4,4,4,2,9,9,9,2,1,4,3,4,4,4,3,3,2,2,2,2,2,2,1,1,2,4,1,2,69,21,0,0,1500,901101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6
5,4,5,1,4,4,4,4,3,3,4,5,3,3,1,4,1,0,4,6,2,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,1,4,5,5,4,4,4,4,4,1,0,1,0,4,5,1,0,1,0,3,6,5,6,1,0,1,0,1,0,1,0,1,0,1,0,3,4,3,4,1,0,4,4,4,2,5,3,3,3,3,3,3,3,2,3,3,2,5,5,5,4,4,4,4,3,4,4,1,2,1,1,1,31,40,4000,2000,0,416303,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,2
5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,1,0,1,0,1,0,1,0,5,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,3,1,0,1,0,1,0,1,0,1,0,5,4,1,0,1,0,1,0,1,0,3,3,3,4,4,4,4,4,4,5,5,4,3,4,5,5,5,3,4,2,4,3,3,3,3,5,2,3,3,3,3,25,40,1920,1800,0,532101,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,3
4,3,3,2,5,4,5,1,2,4,3,5,1,2,4,2,1,0,1,0,1,0,2,3,3,3,1,0,2,2,1,0,1,0,1,0,5,5,1,0,1,0,2,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,3,2,3,2,2,1,0,1,0,1,0,3,4,3,4,2,3,2,3,1,0,4,4,3,4,5,1,1,2,2,4,3,1,4,4,4,4,4,2,3,3,1,3,3,2,2,2,1,3,1,1,1,32,40,4100,3200,0,415201,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1
4,3,3,3,3,2,5,4,4,4,4,4,4,4,3,4,4,5,3,5,3,5,4,5,3,3,3,4,1,0,1,0,3,4,1,0,1,0,1,0,1,0,3,4,1,0,1,0,1,0,3,5,1,0,1,0,1,0,2,2,1,0,2,4,3,5,1,0,1,0,1,0,3,5,3,4,4,5,4,4,5,5,4,4,4,4,4,3,4,9,9,4,4,3,4,4,3,4,3,4,3,3,4,3,3,1,2,4,2,1,4,4,3,45,46,0,0,6000,15201,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5
5,5,5,4,5,4,5,4,3,4,5,5,5,3,3,5,4,5,5,6,4,5,4,5,4,6,4,4,1,0,1,0,3,5,1,0,1,0,1,0,1,0,4,5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4,5,3,4,3,4,4,4,1,0,1,0,1,0,3,4,1,0,4,4,3,5,1,0,4,4,4,5,4,4,3,4,4,5,4,2,3,3,6,5,5,5,2,1,2,2,2,2,1,5,2,2,1,2,5,54,45,9500,7200,0,12401,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1
2,3,2,1,2,2,2,2,2,2,3,3,3,2,2,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,5,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,2,1,3,3,2,2,3,3,3,3,2,3,3,2,2,3,2,1,3,1,3,3,2,2,2,1,2,3,3,3,53,50,3960,3600,0,704001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
4,4,5,5,5,4,4,4,4,4,5,4,5,3,4,4,4,3,4,5,3,3,3,5,4,5,2,2,4,5,1,0,2,3,5,6,4,4,1,0,5,6,3,6,3,4,2,2,1,0,3,4,1,0,2,1,1,0,1,0,3,3,4,5,4,3,1,0,2,2,1,0,3,3,2,3,1,0,2,3,4,4,4,3,3,4,5,1,5,3,3,5,3,3,2,3,3,3,3,1,2,3,3,2,3,3,3,4,2,2,1,3,2,31,55,4400,3700,0,151107,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1
4,3,4,3,4,4,3,3,3,3,3,3,3,3,3,3,2,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4,5,4,5,1,0,1,0,5,6,3,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,5,7,4,5,5,6,2,2,5,6,4,4,4,4,4,4,5,5,4,4,4,3,3,4,5,4,4,5,5,4,4,4,4,3,4,2,3,4,4,4,4,38,40,4300,2500,0,812301,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1
4,3,5,3,3,4,4,4,3,4,5,5,5,3,3,5,3,4,3,3,2,3,4,5,4,5,4,4,3,5,1,0,5,5,4,5,3,4,1,0,2,3,3,4,2,3,2,3,1,0,4,5,1,0,1,0,1,0,1,0,3,4,2,4,3,4,1,0,1,0,1,0,3,4,2,3,4,5,3,4,3,3,4,4,3,4,4,4,4,4,4,4,4,2,3,3,4,4,4,4,4,2,2,2,2,2,2,3,1,3,3,3,4,22,50,2000,2000,0,841101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,3
4,5,5,4,5,5,4,5,5,5,5,4,5,4,4,4,2,2,2,2,2,2,5,7,5,7,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,2,2,2,1,0,1,0,1,0,3,4,1,0,1,0,2,2,4,6,4,5,1,0,2,3,1,0,1,0,1,0,5,7,1,0,1,0,4,6,1,0,3,1,1,2,3,3,3,3,3,4,3,2,2,2,5,5,5,5,5,2,2,2,2,1,1,1,2,3,3,3,3,29,30,0,0,0,532101,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3
5,5,5,5,5,5,5,4,4,5,4,4,4,5,1,2,1,0,2,2,1,0,5,2,4,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4,3,3,2,1,0,1,0,1,0,1,0,3,3,3,2,1,0,1,0,1,0,1,0,1,0,2,3,2,1,1,0,4,4,4,4,4,2,3,9,9,9,3,1,5,4,2,2,5,2,2,4,5,4,4,4,4,4,3,3,2,2,2,56,63,0,0,3500,29303,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,6
4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,3,3,4,4,4,3,1,0,1,0,4,3,1,0,1,0,1,0,4,4,2,3,1,0,1,0,1,0,3,3,4,4,1,0,1,0,3,3,4,3,3,2,1,0,1,0,1,0,1,0,4,4,2,2,3,3,3,3,4,3,4,2,2,2,4,3,3,4,4,4,4,1,4,4,5,5,5,5,5,2,4,2,2,2,2,4,1,2,3,3,3,56,52,4000,1780,0,28201,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
2,4,4,3,4,4,4,5,4,4,4,5,4,3,2,2,1,0,1,0,1,0,3,4,4,5,1,0,3,3,1,0,1,0,1,0,1,0,1,0,2,2,2,3,1,0,1,0,1,0,2,3,3,3,1,0,1,0,1,0,1,0,1,0,2,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,3,3,4,2,3,3,3,3,4,3,3,2,2,2,2,3,2,2,3,1,2,1,1,2,4,3,2,4,5,4,27,35,1800,1800,0,532101,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,3
4,3,4,4,4,4,5,4,5,5,5,5,4,4,3,3,3,4,3,4,3,4,3,4,4,5,2,2,2,2,1,0,3,4,4,4,2,2,2,2,3,4,1,0,2,3,2,3,1,0,3,4,3,4,2,3,2,3,3,4,4,5,2,2,2,2,1,0,2,2,2,2,3,4,3,3,3,4,4,5,3,4,3,3,4,4,4,3,2,4,3,3,4,3,4,4,2,3,3,2,3,3,3,4,3,3,3,3,2,3,3,4,3,39,40,3800,2700,0,28202,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
